keyword,sentiment
Las Vegas,-0.8999999761581421
democracy,-0.8999999761581421
grassroots,0.8999999761581421
shootings,-0.699999988079071
tax plan,-0.699999988079071
advantages,-0.699999988079071
Congratulations,0.6000000238418579
Politicians,-0.6000000238418579
districts,-0.6000000238418579
campaign,0.5
interests,0.44999998807907104
response,-0.44999998807907104
victims,-0.4000000059604645
shooting,-0.4000000059604645
Medicare,-0.4000000059604645
tax breaks,-0.4000000059604645
thoughts,-0.30000001192092896
guns,-0.20000000298023224
Republicans,-0.20000000298023224
friends,-0.20000000298023224
